Timestamp,bptrp.sm,bptte.x,bptte.y,bptte.z,bpttp.x,bpttp.y,bpttp.z
10230,0,5.330296335159801e-05,0.00033519233693368733,-0.023572850972414017,0.0,0.0,0.0
10240,0,5.324530502548441e-05,0.00034213223261758685,-0.023601815104484558,0.0,0.0,0.0
10250,0,5.138977212482132e-05,0.000348737055901438,-0.023630185052752495,0.0,0.0,0.0
10260,0,5.866886203875765e-05,0.00035468454007059336,-0.022456707432866096,0.0,0.0,0.0
10270,0,9.039796714205295e-05,2.0629727259802166e-06,-0.02241179533302784,0.0,0.0,0.0
10280,0,8.917380910133943e-05,-1.3763019524049014e-05,-0.0223667211830616,0.0,0.0,0.0
10290,0,8.739687473280355e-05,0.0007178154774010181,-0.02232445403933525,0.0,0.0,0.0
10300,0,8.466016151942313e-05,0.0007411639671772718,-0.022589342668652534,0.0,0.0,0.0
10311,0,8.518855611328036e-05,0.0007646732265129685,-0.02256641536951065,0.0,0.0,0.0
10320,0,7.786673813825473e-05,0.0003388975455891341,-0.02254454977810383,0.0,0.0,0.0
10330,0,7.882582576712593e-05,0.00033977729617618024,-0.022521402686834335,0.0,0.0,0.0
10340,0,8.036592771532014e-05,0.00034065134241245687,-0.022498035803437233,0.0,0.0,0.0
10350,0,8.31928919069469e-05,0.0003405336174182594,-0.022261353209614754,0.0,0.0,0.0
10360,0,8.345012611243874e-05,0.00034002913162112236,-0.02222437784075737,0.0,0.0,0.0
10370,0,8.38309497339651e-05,0.0003396705724298954,-0.02218727581202984,0.0,0.0,0.0
10380,0,8.505538426106796e-05,0.0003395859384909272,-0.02214999310672283,0.0,0.0,0.0
10390,0,8.920414256863296e-05,0.0008444367558695376,-0.022112218663096428,0.0,0.0,0.0
10401,0,9.012317605083808e-05,0.00034047485678456724,-0.022040730342268944,0.0,0.0,0.0
10410,0,9.270707232644781e-05,0.0003395889943931252,-0.022000711411237717,0.0,0.0,0.0
10420,0,9.490286174695939e-05,0.00033725163666531444,-0.02196161262691021,0.0,0.0,0.0
10431,0,9.696951747173443e-05,0.0003335762012284249,-0.021923387423157692,0.0,0.0,0.0
10441,0,9.399209375260398e-05,-0.0001631507620913908,-0.021511418744921684,0.0,0.0,0.0
10451,0,-0.00133353506680578,0.00035200334968976676,-0.021449962630867958,0.0,0.0,0.0
10461,0,9.186185343423858e-05,0.0003583032521419227,-0.021396158263087273,0.0,0.0,0.0
10471,0,8.371921285288408e-05,-7.07475992385298e-05,-0.021335342898964882,0.0,0.0,0.0
10481,0,9.41193284234032e-05,0.00035652602673508227,-0.021278008818626404,0.0,0.0,0.0
10491,0,-0.0007026807870715857,-0.0012131992261856794,-0.021126387640833855,0.0,0.0,0.0
10500,0,7.988274592207745e-05,0.0003498013538774103,-0.021078266203403473,0.0,0.0,0.0
10510,0,7.898377225501463e-05,0.00035095083876512945,-0.021016284823417664,0.0,0.0,0.0
10520,0,7.844145147828385e-05,0.00035319244489073753,-0.020954612642526627,0.0,0.0,0.0
10530,0,7.90679405326955e-05,0.00035504941479302943,-0.020894205197691917,0.0,0.0,0.0
10541,0,5.956508539384231e-05,0.0003532273694872856,-0.023033257573843002,0.0,0.0,0.0
10551,0,-0.0008003623224794865,0.002047404646873474,-0.023092420771718025,0.0,0.0,0.0
10560,0,7.306034967768937e-05,-9.454691462451592e-05,-0.02317483350634575,0.0,0.0,0.0
10570,0,7.755704427836463e-05,-0.0001153531702584587,-0.023240655660629272,0.0,0.0,0.0
10581,0,6.86652711010538e-05,0.0003058237489312887,-0.023186197504401207,0.0,0.0,0.0
10591,0,5.9964728279737756e-05,-8.570222416892648e-05,-0.023247599601745605,0.0,0.0,0.0
10601,0,6.642240623477846e-05,-0.00010489998385310173,-0.02330944687128067,0.0,0.0,0.0
10611,0,5.88860857533291e-05,0.0003101883048657328,-0.023371631279587746,0.0,0.0,0.0
10621,0,6.59364159218967e-05,0.00031011179089546204,-0.023431554436683655,0.0,0.0,0.0
10631,0,5.554862946155481e-05,0.0006712726899422705,-0.02288813330233097,0.0,0.0,0.0
10641,0,6.244800897547975e-05,0.0006894860998727381,-0.0229176115244627,0.0,0.0,0.0
10651,0,3.8857691833982244e-05,-2.7694170057657175e-05,-0.02295047417283058,0.0,0.0,0.0
10661,0,2.5765368263819255e-05,0.0002997020201291889,-0.02298404648900032,0.0,0.0,0.0
10671,0,3.530303365550935e-05,0.00030147889629006386,-0.02301773615181446,0.0,0.0,0.0
10681,0,-0.0009655705071054399,0.00030067574698477983,-0.023852070793509483,0.0,0.0,0.0
10691,0,8.523243195668329e-06,0.00030081020668148994,-0.02393440715968609,0.0,0.0,0.0
10700,0,2.042449159489479e-05,0.0003028985229320824,-0.02401241846382618,0.0,0.0,0.0
10711,0,2.1011734133935533e-05,-1.3135350855009165e-05,-0.024090250954031944,0.0,0.0,0.0
10721,0,2.8082627977710217e-05,-2.7216643502470106e-05,-0.024878861382603645,0.0,0.0,0.0
10730,0,1.130286091211019e-05,0.00030945995240472257,-0.025008559226989746,0.0,0.0,0.0
10741,0,2.3276257707038894e-05,0.0003116308362223208,-0.025127196684479713,0.0,0.0,0.0
10750,0,-0.0013179805828258395,-0.0006935977144166827,-0.025247490033507347,0.0,0.0,0.0
10760,0,-3.3091637305915356e-05,0.00027512386441230774,-0.025381719693541527,0.0,0.0,0.0
10770,0,-1.8294245819561183e-05,0.000277293031103909,-0.02529778890311718,0.0,0.0,0.0
10781,0,-2.668116576387547e-05,0.0005960538983345032,-0.02540568634867668,0.0,0.0,0.0
10790,0,-3.846251638606191e-05,-5.3264491725713015e-05,-0.025515643879771233,0.0,0.0,0.0
10800,0,-2.8046168154105544e-05,-6.786313315387815e-05,-0.02562631294131279,0.0,0.0,0.0
10810,0,-1.7563408619025722e-05,-8.194291149266064e-05,-0.02573844976723194,0.0,0.0,0.0
10820,0,-6.208676495589316e-06,0.00025397667195647955,-0.02383841760456562,0.0,0.0,0.0
10830,0,4.777532922162209e-06,0.00025944883236661553,-0.02383890002965927,0.0,0.0,0.0
10840,0,1.5400244592456147e-05,0.00026402395451441407,-0.02383825182914734,0.0,0.0,0.0
10850,0,2.547213080106303e-05,0.0002669568930286914,-0.023836148902773857,0.0,0.0,0.0
10861,0,4.448565232451074e-05,0.0002689192187972367,-0.0227085929363966,0.0,0.0,0.0
10870,0,-0.0011658878065645695,0.0002687168016564101,-0.0226412545889616,0.0,0.0,0.0
10881,0,-4.161285687587224e-05,-9.666988626122475e-05,-0.02258068136870861,0.0,0.0,0.0
10890,0,-4.076379264006391e-05,0.0002889986499212682,-0.022515088319778442,0.0,0.0,0.0
10900,0,-3.243526225560345e-05,0.0002901314292103052,-0.022449955344200134,0.0,0.0,0.0
10910,0,-2.1839459805050865e-05,0.00029085195274092257,-0.022223344072699547,0.0,0.0,0.0
10920,0,-1.2673761375481263e-05,0.00029126249137334526,-0.02215428464114666,0.0,0.0,0.0
10930,0,-3.611438842199277e-06,0.00029224882018752396,-0.022087624296545982,0.0,0.0,0.0
10941,0,-2.1755251509603113e-05,-0.000521778711117804,-0.022022796794772148,0.0,0.0,0.0
10950,0,-1.91429971891921e-05,0.00032856117468327284,-0.021961430087685585,0.0,0.0,0.0
10961,0,-0.0007647221209481359,0.001443234272301197,-0.021052928641438484,0.0,0.0,0.0
10970,0,-5.0507924242992885e-06,0.0002745785459410399,-0.020945949479937553,0.0,0.0,0.0
10981,0,3.127780473732855e-06,0.00027343849069438875,-0.02082950249314308,0.0,0.0,0.0
10990,0,-1.0050426681118552e-05,-9.184743976220489e-05,-0.020712479948997498,0.0,0.0,0.0
11001,0,-2.2882491975906305e-05,-0.00011200273729627952,-0.022897295653820038,0.0,0.0,0.0
11010,0,-3.534310599206947e-05,0.0002824226685333997,-0.02292986586689949,0.0,0.0,0.0
11021,0,-2.71278422587784e-05,0.00028287325403653085,-0.02296208031475544,0.0,0.0,0.0
11030,0,-4.684228406404145e-05,-9.519418381387368e-05,-0.022994399070739746,0.0,0.0,0.0
11041,0,-4.7484667447861284e-05,0.0002575840044301003,-0.02302735112607479,0.0,0.0,0.0
11050,0,-5.253032941254787e-05,-8.974730008048937e-05,-0.022581923753023148,0.0,0.0,0.0
11061,0,-4.955899203196168e-05,0.00023895761114545166,-0.022581100463867188,0.0,0.0,0.0
11070,0,-6.29737478448078e-05,-8.547842298867181e-05,-0.022578928619623184,0.0,0.0,0.0
11081,0,-5.999756831442937e-05,-0.00010496112372493371,-0.022576281800866127,0.0,0.0,0.0
11090,0,-5.659529415424913e-05,0.0002424685808364302,-0.02257382497191429,0.0,0.0,0.0
11101,0,-4.5278364268597215e-05,0.0002437508082948625,-0.021382758393883705,0.0,0.0,0.0
11110,0,-4.644049477064982e-05,0.0005763142835348845,-0.0213036946952343,0.0,0.0,0.0
11120,0,-4.143403930356726e-05,-5.1460017857607454e-05,-0.0212261825799942,0.0,0.0,0.0
11130,0,-3.7659039662685245e-05,-6.856613617856055e-05,-0.021146699786186218,0.0,0.0,0.0
11141,0,-3.96209470636677e-05,-8.541569695807993e-05,-0.02190820872783661,0.0,0.0,0.0
11150,0,-3.269930311944336e-05,0.0002727008832152933,-0.021884901449084282,0.0,0.0,0.0
11160,0,-3.40131955454126e-05,-5.493541175383143e-05,-0.021861813962459564,0.0,0.0,0.0
11170,0,-2.9161810743971728e-05,-7.17279763193801e-05,-0.02183825708925724,0.0,0.0,0.0
11180,0,-3.895268673659302e-05,0.0002664818603079766,-0.0218159519135952,0.0,0.0,0.0
11190,0,-4.249465200700797e-05,0.00026933648041449487,-0.022791823372244835,0.0,0.0,0.0
11200,0,-3.806283348239958e-05,0.00027222573407925665,-0.02283424325287342,0.0,0.0,0.0
11210,0,-4.2934439989039674e-05,-9.241302905138582e-05,-0.022877005860209465,0.0,0.0,0.0
11220,0,-3.5685105103766546e-05,-0.00011041152174584568,-0.022919241338968277,0.0,0.0,0.0
