Timestamp,bptrp.sm,bptrp.x,bptrp.y,bptrp.z,bpttp.x,bpttp.y,bpttp.z
30190,0,-0.003952122293412685,-0.00043080354225821793,0.01864425092935562,-0.25732311606407166,0.2670181393623352,0.0
30200,0,-0.003944449592381716,-0.000708985491655767,0.018641874194145203,-0.27237972617149353,0.28408417105674744,0.0
30210,0,-0.003944449592381716,-0.000708985491655767,0.018641874194145203,-0.2852034866809845,0.29886266589164734,0.0
30220,0,-0.003927269950509071,-0.0004120799421798438,0.018642514944076538,-0.3014472723007202,0.3179458677768707,0.0
30230,0,-0.004146451596170664,-0.00039370512240566313,0.01916433870792389,-0.3154184818267822,0.3347271978855133,0.0
30240,0,-0.004187991842627525,-0.0004073724849149585,0.019192328676581383,-0.32726508378982544,0.34925931692123413,0.0
30250,0,-0.003911710809916258,-0.0004020743945147842,0.019218942150473595,-0.3404839336872101,0.36584606766700745,0.0
30260,0,-0.0039338162168860435,-0.0004157981602475047,0.019245415925979614,-0.3532731831073761,0.382317453622818,0.0
30270,0,-0.003376012435182929,-0.00041062914533540606,0.019271785393357277,-0.36561670899391174,0.39866819977760315,0.0
30280,0,-0.004999562166631222,-0.0006800532573834062,0.0183772761374712,-0.37749892473220825,0.4148932099342346,0.0
30290,0,-0.0033663224894553423,-0.00040709396125748754,0.01836330071091652,-0.388907253742218,0.4309907853603363,0.0
30300,0,-0.0033575650304555893,-0.00041834352305158973,0.01833292283117771,-0.39982008934020996,0.4469454884529114,0.0
30310,0,-0.003895200788974762,-0.0004031586286146194,0.018302958458662033,-0.4102264940738678,0.4627559185028076,0.0
30320,0,-0.004145898390561342,-0.0003996314771939069,0.01893140748143196,-0.42137911915779114,0.480472594499588,0.0
30330,0,-0.0038898438215255737,0.00035738141741603613,0.01893581636250019,-0.42948129773139954,0.4939441978931427,0.0
30340,0,-0.003641026560217142,0.00034951858106069267,0.018940981477499008,-0.4383028745651245,0.5093087553977966,0.0
30350,0,-0.0036369934678077698,-0.00038817088352516294,0.018950369209051132,-0.4465697407722473,0.5245094299316406,0.0
